brand,scientific,category,form,prompt
Ateno / Atelol,Atenolol,Antihypertensive,Tablet,"Two blister packs of atenolol 50mg and 100mg tablets on white background, professional pharmaceutical product photography, clean clinical lighting, high detail, 8K, photorealistic, white label with blue stripes, each tablet imprinted with dosage marking, organized medical presentation"
Atenoretic,Atenolol + Amiloride + Hydrochlorothiazide,Antihypertensive,Tablet,"Box of atenolol combination tablets with diuretics, white and blue pharmaceutical packaging, tablets in blister pack, clean clinical product photography, white background, professional medical lighting, sharp focus, photorealistic"
Artagone,Silymarin + Zinc + Vitamin B,Liver Support Supplement,Capsule,"Bottle of liver support supplement capsules, silymarin and zinc formula, green and white label, herbal supplement product photography, clean white background, professional pharmaceutical lighting, sharp focus, photorealistic, 8K"
Arcalion / Arcalion Forte / Activate / Arca-zinc,Sulbutiamine,Nootropic,Tablet,"Box of sulbutiamine nootropic tablets, brain energy supplement, red and silver pharmaceutical packaging, blister packs of tablets, clean clinical product photography, white background, sharp focus, photorealistic, professional lighting"
Averozolid,Linezolid,Antibiotic,Tablet,"Pharmaceutical box of linezolid antibiotic tablets, white and red packaging, blister pack with tablets, professional product photography, clean white background, clinical lighting, high detail, photorealistic, 8K"
Azrolid / Azirowa / Unizithrin / Xithrone / Epizithro / Zithromax / Zithrokan / Zisrocin,Azithromycin,Antibiotic,Tablet/Capsule,"Assortment of azithromycin antibiotic packages and blister packs, white and blue pharmaceutical boxes, tablets and capsules, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Amigraine ADCO,Caffeine + Dipyrone + Ergotamine,Antimigraine,Tablet,"Pharmaceutical box of migraine relief tablets, ergotamine combination, white and orange packaging, blister pack tablets, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amigrawest,Zolmitriptan,Antimigraine,Tablet,"Box of zolmitriptan migraine tablets, white and teal pharmaceutical packaging, blister pack with orodispersible tablets, professional product photography, clean white background, clinical lighting, high detail, photorealistic"
Antodine,Famotidine,Antacid / Hyperacidity,Tablet,"Pharmaceutical box of famotidine antacid tablets, white and green packaging, blister pack with tablets, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Antopral,Pantoprazole,Antacid / Hyperacidity,Tablet,"Box of pantoprazole gastro-resistant tablets, white and purple pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Anafronil,Clomipramine,Antidepressant,Capsule,"Pharmaceutical box of clomipramine antidepressant capsules, white and yellow packaging, blister pack with capsules, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Augmentin / Amoclawin / Clavimox / Curam / Deltaclav / e-moxclav / hibiotic / julmentin / megamox / magnabiotic,Amoxicillin + Clavulanic Acid,Antibiotic,Tablet / Suspension,"Collection of amoxicillin-clavulanic acid antibiotic packages, white and yellow boxes, blister packs with tablets and bottles of suspension, professional pharmaceutical product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
A-viton,Vitamin A,Supplement,Capsule,"Bottle of vitamin A supplement capsules, white and orange label, soft gelatin capsules, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Ator / Lipitor / Lipona / lipiless,Atorvastatin,Antihyperlipidemic,Tablet,"Boxes of atorvastatin cholesterol-lowering tablets, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Atoreza,Atorvastatin + Ezetimibe,Antihyperlipidemic,Tablet,"Pharmaceutical box of atorvastatin and ezetimibe combination tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aldomet / Alfadopa,Methyldopa,Antihypertensive (Pregnancy),Tablet,"Box of methyldopa antihypertensive tablets, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alzental / Antizole / Bendax,Albendazole,Anthelmintic,Tablet,"Pharmaceutical box of albendazole anti-worm tablets, white and yellow packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amaryl M / Diavance,Glimepiride + Metformin,Antidiabetic,Tablet,"Box of glimepiride and metformin combination antidiabetic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amrizole,Metronidazole,Antiprotozoal,Tablet,"Pharmaceutical box of metronidazole antiprotozoal tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amipride,Amisulpride,Antipsychotic,Tablet,"Box of amisulpride antipsychotic tablets, white and lilac pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Antox,Selenium + Vitamins,Antioxidant,Capsule,"Bottle of selenium and vitamins antioxidant supplement capsules, white and orange label, professional supplement photography, clean white background, clinical lighting, sharp focus, photorealistic"
Antinal / Diax,Nifuroxazide,Antidiarrheal,Capsule / Suspension,"Pharmaceutical box of nifuroxazide antidiarrheal capsules and suspension bottle, white and orange packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Anoxicam,Tenoxicam,Analgesic,Tablet,"Box of tenoxicam analgesic tablets, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aironyl,Terbutaline,Bronchodilator,Tablet,"Pharmaceutical box of terbutaline bronchodilator tablets, white and light blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aldactone,Spironolactone,Diuretic,Tablet,"Box of spironolactone diuretic tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Allercet / Clearest / Decancit,Pseudoephedrine + Cetirizine,Common Cold & Flu,Tablet,"Box of cold and flu relief tablets with pseudoephedrine and cetirizine, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Arthrofast / Antiflam / Anuva / Divide / Declophen / Diclac / Epifenac / Flotac / Olfen / Rheumafen / Voltarin / Dicloferaze / Diclonatrium / Rheumarene / Vantomor / Adwiflam / Cataflam / Diclasium / Dolphin K / Flamifast / Oflam / Potafen / Vastaflam / Rapiflam / Unirapecure / Rapidus / Arthineur,Diclofenac Sodium / Diclofenac Potassium,Analgesic / Anti-rheumatic,Tablet / Capsule,"Assortment of diclofenac pain relief tablets and capsules boxes, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Avosoya,Avocado Oil + Soy + Vitamins,Supplement,Capsule,"Bottle of avocado oil and soy supplement capsules, green and white label, natural supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Anallerge / Allergex,Chlorpheniramine,Antihistamine,Tablet,"Pharmaceutical box of chlorpheniramine antihistamine tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amebazole,Secnidazole,Antiprotozoal,Tablet,"Box of secnidazole antiprotozoal tablets, white and yellow pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Asmolin,Ephedrine + Phenobarbitone + Theophylline,Antiasthmatic,Tablet,"Pharmaceutical box of antiasthmatic combination tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Atshi,Paracetamol + Loratadine + Pseudoephedrine,Common Cold & Flu,Tablet,"Box of cold and flu relief combination tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aprovel,Irbesartan,Antihypertensive,Tablet,"Pharmaceutical box of irbesartan antihypertensive tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Asmakast / Kokast / Kast,Montelukast,Antiasthmatic,Tablet / Chewable Tablet,"Box of montelukast antiasthmatic tablets, white and orange pharmaceutical packaging, blister pack with chewable tablets, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Amitriptine,Amitriptyline,Antidepressant,Tablet,"Pharmaceutical box of amitriptyline antidepressant tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aciclovir,Acyclovir,Antiviral,Tablet,"Box of acyclovir antiviral tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alukast,Zafirlukast,Antiasthmatic,Tablet,"Pharmaceutical box of zafirlukast antiasthmatic tablets, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alphafen,Ibuprofen,Analgesic,Tablet,"Box of ibuprofen pain relief tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Altiazem,Diltiazem,Vasodilator,Tablet,"Pharmaceutical box of diltiazem vasodilator tablets, white and light blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alzmenda,Memantine,Alzheimer's Treatment,Tablet,"Box of memantine Alzheimer's treatment tablets, white and purple pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Alertam,Fexofenadine,Antihistamine,Tablet,"Pharmaceutical box of fexofenadine antihistamine tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
